time,open,high,low,close,volume,complete,sma_short,sma_long,signal
2019-11-19,108.546,108.74,108.349,108.608,18024,True,,,0
2019-11-20,108.594,108.7,108.28,108.612,18410,True,,,0
2019-11-21,108.632,108.732,108.478,108.651,11557,True,,,0
2019-11-24,108.673,108.978,108.638,108.924,8576,True,,,0
2019-11-25,108.94,109.208,108.875,109.062,11263,True,,,0
2019-11-26,109.042,109.61,109.016,109.537,7474,True,,,0
2019-11-27,109.548,109.564,109.334,109.514,6904,True,,,0
2019-11-28,109.522,109.669,109.399,109.5,9720,True,,,0
2019-12-01,109.538,109.726,108.926,108.978,12637,True,109.04288888888888,,0
2019-12-02,108.99,109.206,108.484,108.635,17232,True,109.0458888888889,,0
2019-12-03,108.632,108.964,108.43,108.868,15429,True,109.07433333333333,,0
2019-12-04,108.866,108.998,108.658,108.758,11669,True,109.08622222222223,,0
2019-12-05,108.755,108.923,108.52,108.586,11736,True,109.04866666666666,,0
2019-12-08,108.586,108.677,108.43,108.553,6201,True,108.99211111111111,,0
2019-12-09,108.562,108.769,108.514,108.733,10088,True,108.90277777777777,,0
2019-12-10,108.745,108.857,108.466,108.558,9105,True,108.79655555555556,,0
2019-12-11,108.562,109.45,108.458,109.307,17215,True,108.77511111111112,,0
2019-12-12,109.318,109.705,109.208,109.348,25966,True,108.81622222222222,,0
2019-12-15,109.303,109.675,109.282,109.554,7245,True,108.91833333333335,,0
2019-12-16,109.542,109.634,109.444,109.492,6785,True,108.98766666666667,,0
2019-12-17,109.508,109.629,109.4,109.571,6714,True,109.07800000000002,,0
2019-12-18,109.576,109.684,109.184,109.359,7515,True,109.16388888888889,,0
2019-12-19,109.37,109.526,109.255,109.443,6223,True,109.26277777777779,,0
2019-12-22,109.46,109.538,109.34,109.392,5167,True,109.336,,0
2019-12-23,109.396,109.44,109.328,109.398,6524,True,109.42933333333333,,0
2019-12-25,109.398,109.684,109.346,109.639,4333,True,109.46622222222221,109.09923076923077,1
2019-12-26,109.597,109.602,109.39,109.453,13033,True,109.4778888888889,109.13173076923076,1
2019-12-29,109.419,109.48,108.768,108.88,8485,True,109.403,109.14203846153848,1
2019-12-30,108.885,108.886,108.47,108.628,7758,True,109.30699999999999,109.14115384615386,1
2020-01-01,108.651,108.866,108.212,108.561,8353,True,109.19477777777777,109.1271923076923,1
2020-01-02,108.568,108.63,107.842,108.11,21241,True,109.056,109.09057692307692,-1
2020-01-05,107.879,108.506,107.772,108.372,15195,True,108.937,109.04576923076924,-1
2020-01-06,108.353,108.63,108.262,108.46,13768,True,108.83344444444444,109.00523076923076,-1
2020-01-07,108.455,109.246,107.65,109.134,41311,True,108.80411111111111,108.99115384615385,-1
2020-01-08,109.092,109.58,109.014,109.524,13709,True,108.79133333333333,109.01215384615384,-1
2020-01-09,109.517,109.688,109.433,109.471,8839,True,108.79333333333334,109.04430769230768,-1
2020-01-12,109.528,109.947,109.512,109.944,32719,True,108.91155555555555,109.08569230769231,-1
2020-01-13,109.946,110.214,109.854,109.996,53831,True,109.06355555555555,109.13330769230768,-1
2020-01-14,109.99,110.01,109.79,109.9,42899,True,109.21233333333333,109.18384615384615,1
2020-01-15,109.896,110.178,109.857,110.17,34262,True,109.44122222222222,109.24603846153846,1
2020-01-16,110.164,110.289,110.047,110.156,34329,True,109.63944444444445,109.30076923076923,1
2020-01-19,110.088,110.218,110.078,110.184,18991,True,109.831,109.36330769230769,1
2020-01-20,110.188,110.222,109.762,109.87,51445,True,109.91277777777778,109.38496153846154,1
2020-01-21,109.862,110.1,109.832,109.838,41126,True,109.94766666666666,109.40380769230768,1
2020-01-22,109.835,109.864,109.265,109.494,58998,True,109.95022222222222,109.4015,1
2020-01-23,109.49,109.654,109.173,109.279,55790,True,109.87633333333333,109.3933076923077,1
2020-01-26,108.94,109.138,108.732,108.896,86572,True,109.75411111111111,109.36734615384616,1
