sma_time,open,high,low,close,sma_short,sma_long,signal
2019-11-20 00:00:00,108.473,108.584,108.438,108.552,,,0
2019-11-20 01:00:00,108.554,108.567,108.357,108.448,,,0
2019-11-20 02:00:00,108.446,108.53,108.412,108.492,,,0
2019-11-20 03:00:00,108.495,108.534,108.472,108.478,,,0
2019-11-20 04:00:00,108.48,108.518,108.461,108.514,,,0
2019-11-20 05:00:00,108.516,108.537,108.478,108.523,,,0
2019-11-20 06:00:00,108.525,108.528,108.506,108.522,,,0
2019-11-20 07:00:00,108.52,108.571,108.395,108.44,,,0
2019-11-20 08:00:00,108.438,108.458,108.376,108.39,108.48433333333334,,0
2019-11-20 09:00:00,108.393,108.474,108.349,108.426,108.47033333333333,,0
2019-11-20 10:00:00,108.428,108.454,108.378,108.44,108.46944444444445,,0
2019-11-20 11:00:00,108.442,108.474,108.424,108.474,108.46744444444444,,0
2019-11-20 12:00:00,108.477,108.514,108.436,108.471,108.46666666666665,,0
2019-11-20 13:00:00,108.474,108.58,108.448,108.533,108.46877777777777,,0
2019-11-20 14:00:00,108.53,108.686,108.51,108.633,108.48100000000001,,0
2019-11-20 15:00:00,108.636,108.738,108.613,108.631,108.4931111111111,,0
2019-11-20 16:00:00,108.628,108.707,108.628,108.682,108.52000000000001,,0
2019-11-20 17:00:00,108.684,108.74,108.44,108.537,108.53633333333333,,0
2019-11-20 18:00:00,108.54,108.652,108.412,108.596,108.55522222222223,,0
2019-11-20 19:00:00,108.592,108.647,108.534,108.62,108.57522222222222,,0
2019-11-20 20:00:00,108.618,108.631,108.536,108.574,108.58633333333334,,0
2019-11-20 21:00:00,108.571,108.636,108.568,108.608,108.60155555555556,,0
2019-11-20 22:00:00,108.594,108.606,108.406,108.456,108.593,,0
2019-11-20 23:00:00,108.454,108.528,108.444,108.472,108.57511111111111,,0
2019-11-21 00:00:00,108.474,108.518,108.332,108.348,108.54366666666667,,0
2019-11-21 01:00:00,108.352,108.394,108.28,108.316,108.503,108.50676923076922,-1
2019-11-21 02:00:00,108.314,108.554,108.309,108.49,108.49777777777778,108.50438461538462,-1
2019-11-21 03:00:00,108.488,108.545,108.462,108.526,108.49,108.50738461538461,-1
2019-11-21 04:00:00,108.528,108.538,108.482,108.528,108.47977777777777,108.50876923076922,-1
2019-11-21 05:00:00,108.53,108.602,108.512,108.576,108.48,108.51253846153847,-1
2019-11-21 06:00:00,108.574,108.596,108.548,108.578,108.47666666666666,108.515,-1
