,time_exit,side,entry,exit,pnl,month
0,2019-11-25 00:41:00,SHORT,108.36200000000001,108.76200000000001,-8000.0,2019-11
1,2019-11-26 01:46:00,LONG,108.76899999999999,109.169,8000.0,2019-11
2,2019-11-29 13:03:00,LONG,109.214,109.614,8000.0,2019-11
3,2019-12-02 15:06:00,LONG,109.62299999999999,109.22299999999998,-8000.0,2019-12
4,2019-12-03 10:13:00,SHORT,109.262,108.862,8000.0,2019-12
5,2019-12-04 07:29:00,SHORT,108.85900000000001,108.459,8000.0,2019-12
6,2019-12-04 15:32:00,SHORT,108.45400000000001,108.85400000000001,-8000.0,2019-12
7,2019-12-09 09:06:00,LONG,108.884,108.484,-8000.0,2019-12
8,2019-12-12 14:40:00,SHORT,108.474,108.87400000000001,-8000.0,2019-12
9,2019-12-12 15:57:00,LONG,108.86,109.26,8000.0,2019-12
10,2019-12-13 10:25:00,LONG,109.274,109.674,8000.0,2019-12
11,2019-12-13 14:07:00,LONG,109.678,109.27799999999999,-8000.0,2019-12
12,2019-12-19 00:54:00,LONG,109.276,109.676,8000.0,2019-12
13,2019-12-19 15:00:00,LONG,109.681,109.28099999999999,-8000.0,2019-12
14,2019-12-26 16:03:00,SHORT,109.26100000000001,109.66100000000002,-8000.0,2019-12
15,2019-12-30 02:22:00,LONG,109.66799999999999,109.26799999999999,-8000.0,2019-12
16,2019-12-30 14:52:00,SHORT,109.25800000000001,108.858,8000.0,2019-12
17,2020-01-02 15:25:00,SHORT,108.848,108.448,8000.0,2020-01
18,2020-01-03 02:47:00,LONG,108.448,108.04799999999999,-8000.0,2020-01
19,2020-01-06 16:40:00,SHORT,108.003,108.403,-8000.0,2020-01
20,2020-01-07 23:34:00,LONG,108.416,108.01599999999999,-8000.0,2020-01
21,2020-01-08 02:49:00,LONG,108.04299999999999,108.443,8000.0,2020-01
22,2020-01-08 16:29:00,SHORT,108.44,108.84,-8000.0,2020-01
23,2020-01-09 05:51:00,LONG,108.87599999999999,109.276,8000.0,2020-01
24,2020-01-10 13:29:00,LONG,109.282,109.682,8000.0,2020-01
25,2020-01-14 00:02:00,LONG,109.648,110.048,8000.0,2020-01
26,2020-01-22 23:33:00,LONG,110.06,109.66,-8000.0,2020-01
27,2020-01-23 16:26:00,SHORT,109.688,109.288,8000.0,2020-01
28,2020-01-26 23:01:00,SHORT,109.287,108.887,8000.0,2020-01
29,2020-01-31 15:53:00,SHORT,108.914,108.514,8000.0,2020-01
30,2020-02-04 06:57:00,SHORT,108.518,108.918,-8000.0,2020-02
